,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness,fitness.1,fitness.2,fitness.3,fitness.4,fitness
10,0.04,5.0,140.0,0.7557220178733871,4.182929992017515,0.02,0.2,8,0,0.1985042822222439,3.438867064309541,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.4898773749403738,23.131492860077312,0.8,1.2,0,-80,5,5,60,59.99974813937967,24.0,59.99958023229944,59.99974813937967,46.0,23.332913565632783,optimized_frequencies,51,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04,5.0,140.0,0.6549529102539469,10.764571932637644,0.02,0.2,8,0,0.1140883139735893,9.31511188136934,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.223762167737783,28.39504100193671,0.8,1.2,0,-80,5,5,60,59.99978483055406,12.0,79.99964138425678,59.99978483055406,54.0,9.99964138425677,optimized_frequencies,52,0.0,0.0,0.0,0.0,0.0,0.0
12,0.04,5.0,140.0,0.6216315380502633,7.37324844999805,0.02,0.2,8,0,0.1826597152114871,5.605016448914938,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.387521895698608,21.32011682739513,0.8,1.2,0,-80,5,5,60,59.99973140421874,23.0,61.666219007031245,59.99973140421874,23.0,61.666219007031245,optimized_frequencies,53,0.0,0.0,0.0,0.0,0.0,0.0
13,0.04,5.0,140.0,0.4586378152547846,3.968987405208063,0.02,0.2,8,0,0.1725688735787683,7.176985160489892,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.546073732195104,22.37070833944945,0.8,1.2,0,-80,5,5,60,59.99974094382798,53.0,11.666234906379968,59.99974094382798,53.0,11.666234906379968,optimized_frequencies,54,0.0,0.0,0.0,0.0,0.0,0.0
14,0.04,5.0,140.0,0.7045494046738439,3.125068749159984,0.02,0.2,8,0,0.1472897195347477,2.84878175343966,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.141777264545013,19.465835776149696,0.8,1.2,0,-80,5,5,60,59.9997779299369,9.0,84.99962988322817,59.9997779299369,88.0,-46.667036783438505,optimized_frequencies,55,0.0,0.0,0.0,0.0,0.0,0.0
15,0.04,5.0,140.0,0.091297264129744,7.256405460366857,0.02,0.2,8,0,0.0785153310286042,10.419386884946093,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.166962311613681,14.135742430871534,0.8,1.2,0,-80,5,5,60,59.99991872715894,62.0,-3.33346878806843,59.99991872715894,62.0,-3.33346878806843,optimized_frequencies,56,0.0,0.0,0.0,0.0,0.0,0.0
16,0.04,5.0,140.0,0.3776611916880079,13.929588245399074,0.02,0.2,8,0,0.3865459991707981,0.6780979890684904,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.017779912540008,23.99155038439805,0.8,1.2,0,-80,5,5,60,88.99963476990506,29.0,99.9993912831751,88.99963476990506,29.0,99.9993912831751,optimized_frequencies,57,1.0,1.0,1.0,1.0,1.0,1.0
17,0.04,5.0,140.0,0.2146058490774091,2.8260969215610947,0.02,0.2,8,0,0.1094714166500879,13.058277040303118,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.624633987862945,25.392556502757312,0.8,1.2,0,-80,5,5,60,59.99988411798334,63.0,-5.00019313669443,59.99988411798334,63.0,-5.00019313669443,optimized_frequencies,58,0.0,0.0,0.0,0.0,0.0,0.0
18,0.04,5.0,140.0,0.5044306592832237,4.124466900851663,0.02,0.2,8,0,0.0761233658385862,0.9619928302734592,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.931242142793964,19.92948328856423,0.8,1.2,0,-80,5,5,60,59.99986413074246,13.0,78.33310688457077,59.99986413074246,13.0,78.33310688457077,optimized_frequencies,59,0.0,0.0,0.0,0.0,0.0,0.0
19,0.04,5.0,140.0,0.2270430571992326,5.781257093574098,0.02,0.2,8,0,0.1920545703549974,8.520759456274206,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.208795962160618,23.39969921735492,0.8,1.2,0,-80,5,5,60,59.999751497229184,56.0,6.666252495381973,59.999751497229184,56.0,6.666252495381973,optimized_frequencies,60,0.0,0.0,0.0,0.0,0.0,0.0
